I                ;                                  ich
you (singular, familiar)           ;                     du
you (polite)             ;                            Sie
he                ;                                er
she                ;                               sie
it                ;                                 es
this / this one             ;                           das
that / that one             ;                          jenes
we                ;                                wir
you (plural, familiar)           ;                       ihr
you (polite)             ;                            Sie
they                ;                               sie
good morning               ;                        guten Morgen
good afternoon / good day            ;                 guten Tag
good evening               ;                         guten Abend
good night               ;                           gute Nacht
good-bye              ;                             auf Wiedersehen
please / you’re welcome             ;                  bitte
thank you               ;                           danke
yes                ;                                ja
no                ;                                nein
good                ;                              gut
bad                ;                               schlecht
master / Mr             ;                           Herr
woman / Mrs             ;                          Frau
young lady / Miss             ;                       Fräulein
