the table              ;                              der Tisch
the person              ;                            die Person
For how many persons?           ;                    Für wie viele Personen?
I would like a table for 2        ;                      Ich möchte einen Tisch für zwei
I would like this table          ;                      Ich möchte diesen Tisch
I would like that one over there        ;                Ich möchte den dort drüben
another table              ;                          einen anderen Tisch
Do you have another table? (polite)       ;               Haben Sie einen anderen Tisch?
the window              ;                           das Fenster
near the window [L in the nearness of the window]   ;      in der Nähe vom Fenster
The menu please            ;                        Die Speisekarte, bitte
The bill please            ;                          Die Rechnung, bitte
included               ;                             inbegriffen
Is the service included?           ;                    Ist die Bedienung inbegriffen?
the soup              ;                              die Suppe
the salad              ;                             der Salat
an appetizer              ;                           eine Vorspeise
the dessert              ;                            der Nachtisch
the drink              ;                             das Getränk
the waiter              ;                            der Kellner / der Ober
the waitress              ;                           die Kellnerin
to call a waiter            ;                          Herr Ober!
to call a waiter or waitress          ;                   Entschuldigen Sie!
to pay              ;                               bezahlen
I would like to pay, please        ;                     Ich möchte bezahlen, bitte
Two coffees, please           ;                       Zwei Kaffee, bitte
Would you like a dessert? (polite)       ;                Möchten Sie einen Nachtisch?

