Who?              ;                                Wer?
Who is it?            ;                              Wer ist es?
What?              ;                               Was?
What is it?            ;                              Was ist es?
What is this? / What is that?       ;                     Was ist das?
What is that over there?          ;                     Was ist das dort drüben?
What did you say? [L How please]     ;                 Wie bitte?
What did you say? / What were you saying? (polite)  ;       Was sagten Sie?
When?              ;                               Wann?
When does the train depart?          ;                  Wann fährt der Zug ab?
Where?              ;                              Wo?
Where is the subway?           ;                      Wo ist die U-Bahn?
Which?              ;                              Welcher? [welche, welches]
Which bus travels to Hamburg?          ;               Welcher Bus fährt nach Hamburg?
Why?              ;                                Warum?
Why not?             ;                              Warum nicht?
How?              ;                                Wie?
How’s it going? / How goes it?       ;                   Wie geht’s?
How are you? (polite)         ;                        Wie geht es Ihnen?
How much?             ;                            Wie viel?
How many?             ;                            Wie viele?
How many kilometers?            ;                    Wie viele Kilometer?
How far?             ;                              Wie weit?
Do you want… ? (polite)         ;                     Wollen Sie… ?
Would you like… ? (polite)         ;                   Möchten Sie… ?
Do you want… ? (singular, familiar)       ;             Willst du… ?
Would you like… ? (singular, familiar)       ;            Möchtest du… ?
