the store / the shop       ;                            das Geschäft
a bakery          ;                                  eine Bäckerei
the butcher shop         ;                            die Metzgerei
a pharmacy          ;                               eine Apotheke
the supermarket          ;                           der Supermarkt
the pastry shop         ;                             die Konditorei
the office          ;                                 das Büro / das Amt
the post office         ;                              das Postamt / die Post
the customs office         ;                           das Zollamt
a laundry          ;                                 eine Wäscherei
the barber / the hairdresser       ;                      der Friseur
the beauty salon         ;                            der Kosmetiksalon
a bookshop          ;                               eine Buchhandlung
the department store         ;                         das Warenhaus / das Kaufhaus
the market          ;                                der Markt
the police station         ;                            die Polizeiwache
the restaurant          ;                              das Restaurant
the cafe / the coffeehouse       ;                       das Café
a travel agency         ;                             ein Reisebüro
the delicatessen          ;                            das Delikatessengeschäft
