I want…              ;                             Ich will…
I don’t want…             ;                         Ich will nicht…
Where?              ;                              Wo?
Where is… ?             ;                           Wo ist… ?
Where is the toilet?           ;                        Wo ist die Toilette?
How much?             ;                            Wie viel?
How much does it cost? [L How much costs it?]  ;         Wie viel kostet es?
clock / o’clock             ;                         Uhr
What time?             ;                            Wie viel Uhr?
At what time?            ;                           Um wie viel Uhr?
You have… (polite)           ;                        Sie haben…
Do you have… ? / Have you… ? (polite)     ;             Haben Sie… ?
I understand             ;                           Ich verstehe
I don’t understand            ;                       Ich verstehe nicht
You understand? (polite)          ;                     Verstehen Sie?
It is…              ;                               Es ist…
Is it… ?             ;                               Ist es… ?
