to be                      ;                        sein
to have                      ;                       haben
to want                      ;                      wollen
to go / to walk                   ;                    gehen
to do / to make                   ;                   machen
to eat                      ;                        essen
to drink                      ;                      trinken
to buy                      ;                       kaufen
to sell                      ;                        verkaufen
to rent                      ;                       mieten
to pay                      ;                        zahlen
to pay for                     ;                     bezahlen
to see                      ;                        sehen
to look for                     ;                     suchen
to look at                     ;                      anschauen
to know something                     ;              wissen
to be acquainted with                    ;             kennen
to understand                      ;                  verstehen
to come                      ;                      kommen
to arrive                      ;                      ankommen
to write                      ;                      schreiben
to close                      ;                      schließen
to open                      ;                      öffnen
to learn / to study                   ;                 lernen
to drive or ride / to go                 ;                fahren
to depart in a vehicle                   ;              abfahren
to go out                     ;                      ausgehen
to leave something somewhere                    ;      lassen
to leave a place                    ;                  verlassen
to say                      ;                        sagen
to speak                      ;                      sprechen
to lose                      ;                       verlieren
to steal                      ;                       stehlen
to stop                      ;                       anhalten
to like                      ;                       mögen / gern haben
to love                      ;                       lieben
to live                      ;                       leben
to cost                      ;                       kosten
to sleep                      ;                      schlafen
to cut                      ;                        schneiden
to take                      ;                       nehmen
to finish / to end                   ;                  beenden
to travel                      ;                      reisen
to depart on a trip                   ;                 abreisen
to be able to (as in “can”)               ;               können
to be able to (as in “may”) / to be allowed to          ;     dürfen
to have to (as in “should”)                ;             sollen
to have to (as in “must”)                ;               müssen
to need                      ;                      brauchen
to mean                      ;                      meinen
to repeat                      ;                     wiederholen
