to               ;                                  nach
at / by / with           ;                             bei
to / at             ;                                 zu
from / of             ;                              von
from / out of            ;                            aus
with               ;                                mit
without               ;                             ohne
for / intended for            ;                         für
per               ;                                 pro
on               ;                                 auf / an
over               ;                                über
under               ;                               unter
below               ;                               unterhalb
in / into             ;                               in
inside               ;                               drinnen
within               ;                              innerhalb
outside               ;                              außerhalb / draußen
in front of / ahead of          ;                        vor
in back of / behind           ;                        hinter
before [time]            ;                            vor
after [time]            ;                             nach
near               ;                                nahe / in der Nähe
far               ;                                 weit
next to / beside            ;                          neben
around               ;                              um
against               ;                              gegen
between               ;                             zwischen
during               ;                              während
since               ;                               seit
in the middle of            ;                          mitten in
through               ;                             durch
across               ;                              quer durch
across from / opposite from           ;                 gegenüber von
