the water            ;                               das Wasser
drinking water            ;                           Trinkwasser
the luggage            ;                             das Gepäck
my luggage            ;                             mein Gepäck
the suitcase            ;                             der Koffer
the suitcases            ;                            die Koffer
my suitcase            ;                             mein Koffer
my suitcases            ;                            meine Koffer
this suitcase            ;                             dieser Koffer
that suitcase            ;                             jener Koffer
that one there           ;                            jener dort
that one over there          ;                         jener dort drüben
this ticket            ;                              diese Fahrkarte
the backpack            ;                            der Rucksack
the baggage check           ;                         die Gepäckaufbewahrung
the key            ;                                 der Schlüssel
the locker            ;                              das Schließfach
the railroad            ;                             die Eisenbahn
the city            ;                                die Stadt
the town / the small city        ;                       die Kleinstadt
the village            ;                              das Dorf
a map            ;                                  eine Karte / eine Landkarte
the city map           ;                             der Stadtplan
open             ;                                  offen
closed             ;                                geschlossen
the passport [L the travelpass]      ;                    der Reisepass
the ticket book           ;                           das Fahrkartenbuch
the police            ;                               die Polizei
the police officer           ;                          der Polizist
the city center           ;                            das Stadtzentrum
the old city / the old town       ;                       die Altstadt
